Publication	taxa	pct of publications	pct of taxa
Trudy Turkestansk. Naucn. Obsc.	4	34.21%	90.82%
Trudy Vsesojuzn. Geol.-Razv. Ob''ed. SSSR	4	34.22%	90.83%
Uchen. Zap. Tomsk. Gosud. Univ.	4	34.24%	90.83%
Univ. Calif. Publ. Geol. Sci.	4	34.26%	90.84%
Univ. Kansas Paleontol. Contrib. Pap.	4	34.27%	90.84%
Univ. Queensland Pap., Dept. Bot.	4	34.29%	90.85%
Univ. Texas Publ.	4	34.31%	90.86%
Untersuch. Conjugaten.	4	34.32%	90.86%
Veg. Erde	4	34.34%	90.87%
Veg. Kingdom ed.	4	34.35%	90.88%
Vendsk. Sist.	4	34.37%	90.88%
Verh. Geol. Beschr. Kaart Ned.	4	34.39%	90.89%
Verh. K. K. Geol. Reichsanst.	4	34.40%	90.89%
Victoria Naturalist	4	34.42%	90.90%
Vollst. Lex. Gärtnerei Nachtr.	4	34.44%	90.91%
Voyage Coquille Bot.	4	34.45%	90.91%
Voyage Distr. Diamans Brés.	4	34.47%	90.92%
Voyage Îles Afrique	4	34.48%	90.92%
Voyage Monde Coquille, Bot. (Phan.)	4	34.50%	90.93%
Wiss. Meeresuntersuch., Abt. Helgoland	4	34.52%	90.94%
Meteor' Forschungsergebn. Reihe D. Biol.	3	34.53%	90.94%
2me Expéd. Antarc. Franç. (1908-1910) Comm. J. Charcot, Bot. Diat.	3	34.55%	90.95%
Abh. Geol. Landesanst. Berlin	3	34.56%	90.95%
Abh. Geol. Specialkarte Elsass-Lothringen	3	34.58%	90.96%
Abh. K. K. Zool.-Bot. Ges. Wien	3	34.60%	90.96%
Abh. Math.-Phys. Cl. Königl. Bayer. Akad.	3	34.61%	90.96%
Abh. Sächs. Geol. Landesamts	3	34.63%	90.97%
Abh. Zentr. Geol. Inst.	3	34.65%	90.97%
Abh. Zool.-Bot. Ges. Wien	3	34.66%	90.98%
Acad. Sci. Ukrain. SSR, Kiev	3	34.68%	90.98%
Account Bot. Coll. Cantor	3	34.69%	90.99%
Acta Amazonica	3	34.71%	90.99%
Acta Bot. Bohem.	3	34.73%	91.00%
Acta Geol. Lilloana	3	34.74%	91.00%
Acta Lit. Univ. Hafn.	3	34.76%	91.01%
Acta Palaeontol. Roman.	3	34.78%	91.01%
Acta Sci. Nat. Univ. Sunyatseni	3	34.79%	91.02%
Acta Soc. Sci. Fenn.	3	34.81%	91.02%
Acta Univ. Carol., Biol.	3	34.82%	91.02%
Add. Fl. Canar.	3	34.84%	91.03%
Addisonia	3	34.86%	91.03%
Adnot. Bot.	3	34.87%	91.04%
Agric. Colon.	3	34.89%	91.04%
Alg. Brit. xlviii,	3	34.91%	91.05%
Algologiya	3	34.92%	91.05%
Algues Floridées Encroutantes	3	34.94%	91.06%
Amoen. Acad.	3	34.95%	91.06%
Anais XIV Congr. Soc. Bot. Brasil	3	34.97%	91.07%
Anales Acad. Ci. Méd. Habana	3	34.99%	91.07%
Ann. Acad. Brasil. Sci.	3	35.00%	91.08%
Ann. Hist.-Nat. Mus. Natl. Hung. ser.	3	35.02%	91.08%
Ann. Hist.-Nat. Mus. Natl. Hung., Bot.	3	35.03%	91.08%
Ann. Inst. Pasteur	3	35.05%	91.09%
Ann. Soc. Roy. Agric. Gand	3	35.07%	91.09%
Ann. South African Mus.	3	35.08%	91.10%
Ann. Sperim. Agrar. ser.	3	35.10%	91.10%
Annual Rep. Ohio State Acad. Sci.	3	35.12%	91.11%
Annual Rep. U.S. Geol. Surv.	3	35.13%	91.11%
Aquatic Phycomycetes ed.	3	35.15%	91.12%
Arb. Amer.	3	35.16%	91.12%
Arbeiten Bot. Inst. Königl. Lyceums Hosianum Braunsberg	3	35.18%	91.13%
Arch. Bot. Bull. Mens.	3	35.20%	91.13%
Arch. Sci. Phys. Nat. ser.	3	35.21%	91.14%
Arch. Vereins Freunde Naturgesch. Mecklenburg	3	35.23%	91.14%
Arq. Serv. Florest.	3	35.25%	91.14%
Atlas Deutsch. Meeresalgen	3	35.26%	91.15%
Atlas Diatoms	3	35.28%	91.15%
Atti Accad. Sci. Fis.	3	35.29%	91.16%
Atti Congr. Bot. Int. Genova	3	35.31%	91.16%
Atti Reale Ist. Venet. Sci. ser.	3	35.33%	91.17%
Atti Soc. Ligustica Sci. Nat.	3	35.34%	91.17%
Atti Soc. Tosc. Sci. Nat. Pisa Mem.	3	35.36%	91.18%
Atti Soc. Veneto-Trentina Sci. Nat. Padova	3	35.38%	91.18%
Austral. J. Bot., Suppl. Ser.	3	35.39%	91.19%
B.A.N.Z. Antarct. Res. Exped. Rep. ser. B.	3	35.41%	91.19%
Beih. Sydowia ser.	3	35.42%	91.20%
Beitr. Fl. Aethiop.	3	35.44%	91.20%
Beitr. Gesammten Natur- Heilwiss.	3	35.46%	91.20%
Beitr. Naturgesch. Urwelt	3	35.47%	91.21%
Belg. J. Bot.	3	35.49%	91.21%
Ber. Naturwiss. Ges. Chemnitz	3	35.50%	91.22%
Bergens Mus. Skr.	3	35.52%	91.22%
Betracht. Erschein. Verjüng. Natur	3	35.54%	91.23%
Biblioth. Universelle Genève	3	35.55%	91.23%
Biol. Bull. Mar. Biol. Lab. Woods Hole	3	35.57%	91.24%
Biol. Meddel. Kongel. Danske Vidensk. Selsk.	3	35.59%	91.24%
Biosphaera	3	35.60%	91.25%
Blätt. Sukkulentenk.	3	35.62%	91.25%
Bol. Acad. Nac. Ci. Córdoba	3	35.63%	91.26%
Bol. Inst. Geol. Minero España	3	35.65%	91.26%
Bol. Minist. Agric., Divisão Geol. (Rio de Janeiro)	3	35.67%	91.26%
Bol. Mus. Nac. Rio de Janeiro	3	35.68%	91.27%
Bol. Secr. Agric., Pernambuco	3	35.70%	91.27%
Bot. Abh. Morphol. Physiol.	3	35.72%	91.28%
Bot. App. Sturt's Exped.	3	35.73%	91.28%
Bot. Arch. Gartenbauges. Österr. Kaiserstaates	3	35.75%	91.29%
Bot. Bull. Acad. Sin.	3	35.76%	91.29%
Bot. Jahrb.	3	35.78%	91.30%
Bot. Mater. Gerb. Inst. Bot. Akad. Nauk Uzbeksk. SSR	3	35.80%	91.30%
Bot. Voyage Sulphur t.	3	35.81%	91.31%
Bot. Zhurn. SSSR	3	35.83%	91.31%
Bot. Zurn. (Moscow et Leningrad)	3	35.85%	91.32%
Brit. Fl.	3	35.86%	91.32%
Brit. Mus. (Nat. Hist.): Cat. Cainozoic Pl.	3	35.88%	91.32%
Bromeliad Pap.	3	35.89%	91.33%
Brotéria Ci. Nat.	3	35.91%	91.33%
Bryol. German.	3	35.93%	91.34%
Bryol. Jav.	3	35.94%	91.34%
Bull. Acad. Roy. Sci. Belgique, Cl. Sci. ser.	3	35.96%	91.35%
Bull. Agric. Exp. Station Tel-Aviv	3	35.97%	91.35%
Bull. Bot. Lab. N. E. Forest. Inst., Harbin	3	35.99%	91.36%
Bull. Bot. Res., Harbin	3	36.01%	91.36%
Bull. Inst. Polytech. Ivan.-Vosnesensk	3	36.02%	91.37%
Bull. Inst. Roy. Colon. Belge	3	36.04%	91.37%
Bull. Int. Acad. Sci. Cracovie, Cl. Sci. Math., Sér. B, Sci. Nat.	3	36.06%	91.38%
Bull. Jard. Bot. Ôtat	3	36.07%	91.38%
Bull. Mens. Soc. Linn. Lyon	3	36.09%	91.38%
Bull. Misc. Inform. Kew	3	36.10%	91.39%
Bull. Miyazaki Coll. Agric.	3	36.12%	91.39%
Bull. New Brunswick Nat. Hist. Soc.	3	36.14%	91.40%
Bull. Orto Bot. Regia Univ. Napoli	3	36.15%	91.40%
Bull. Soc. Zool. France	3	36.17%	91.41%
Bull. Tokai Regional Fish. Res. Lab.	3	36.19%	91.41%
Bull. Tokyo Sci. Mus.	3	36.20%	91.42%
Cact. Hort. Dyck.	3	36.22%	91.42%
Cact. J. (Croydon)	3	36.23%	91.43%
Cact. Suc. Mex.	3	36.25%	91.43%
Cacti Price-List	3	36.27%	91.44%
Cactography	3	36.28%	91.44%
Canad. J. Microbiol.	3	36.30%	91.44%
Canad. Naturalist & Quart. J. Sci. ser.	3	36.32%	91.45%
Canad. Rec. Sci.	3	36.33%	91.45%
Caratt. Tre Nuov. Gen. Collem.	3	36.35%	91.46%
Cas. Mineral. Geol.	3	36.36%	91.46%
Cat. Mesozoic Plants Dept. Geol. Brit. Mus., Cretac. Flora	3	36.38%	91.47%
Cat. Mesozoic Plants Dept. Geol. Brit. Mus., Wealden Flora	3	36.40%	91.47%
Cat. Pl. Cubens.	3	36.41%	91.48%
Cat. Rais. Pl. Cell. Tunis.	3	36.43%	91.48%
Cavanillesia	3	36.44%	91.49%
Centr. Natl. Géol. Houillère Publ.	3	36.46%	91.49%
Centralbl. Bakteriol. Parasitenk.	3	36.48%	91.50%
Ceskoslov. Zahradn. Listy	3	36.49%	91.50%
Cetverticnyj Period Sibiri	3	36.51%	91.51%
Changing Gen.	3	36.53%	91.51%
Chem. Drug. Australasia	3	36.54%	91.51%
Chin. J. Oceanol. Limnol.	3	36.56%	91.52%
Chronostratigraphie Neostratotypen	3	36.57%	91.52%
Coelomycetes	3	36.59%	91.53%
Collect. Bot.	3	36.61%	91.53%
Collect. Bot. (Barcelona)	3	36.62%	91.54%
Commentat. Soc. Regiae Sci. Gott.	3	36.64%	91.54%
Commonw. Sci. Industr. Res. Organ., Coal Res. Sect.	3	36.66%	91.55%
Compt. Rend. Congr. Natl. Soc. Savantes	3	36.67%	91.55%
Compt. Rend. Deux. Congr. Avancem. Études Stratigr. Carbon.	3	36.69%	91.56%
Compt. Rend. Sept. Congr. Int. Stratigr. Géol. Carbon.	3	36.70%	91.56%
Compt. Rend. Sommaire Séances Soc. Géol.	3	36.72%	91.57%
Compt.-Rend. Trav. Carlsberg Lab.	3	36.74%	91.57%
Comun. Mus. Nac. Hist. Nat. Buenos Aires	3	36.75%	91.57%
Consid. Diat.	3	36.77%	91.58%
Consid. Mycol.	3	36.78%	91.58%
Consp. Syst. Tithymalorum Asiae Mediae	3	36.80%	91.59%
Contr. Biol. Lab. Chin. Assoc. Advancem. Sci., Sect. Bot.	3	36.82%	91.59%
Contr. Dudley Herb.	3	36.83%	91.60%
Contr. Étude Fl. Maroc	3	36.85%	91.60%
Contr. Fl. Foss. Liguria	3	36.87%	91.61%
Crittog. Brasil.	3	36.88%	91.61%
Cryptog. Bryol. Lichénol.	3	36.90%	91.62%
Cuad. Bot. Canar.	3	36.91%	91.62%
Cyclopaedia	3	36.93%	91.63%
Czech Mycology	3	36.95%	91.63%
Decheniana, A, Geol. Abt.	3	36.96%	91.63%
Delect. Sem. Horto Bot. Vratisl.	3	36.98%	91.64%
Démonstr. Bot. Analyse Fruit	3	37.00%	91.64%
Départ. Vosges, Fl. Vosges, Champ.	3	37.01%	91.65%
Depths Ocean	3	37.03%	91.65%
Deuteromycotina Cuba. Hyphomycetes III:	3	37.04%	91.66%
Deutschl. Fl., Pilze	3	37.06%	91.66%
Diat. Marit. France	3	37.08%	91.67%
Dict. Fl. Pl. Ferns ed.	3	37.09%	91.67%
Disp. Syst.	3	37.11%	91.68%
Diss. Bot.	3	37.13%	91.68%
Earth Sci. J. Wuhan Coll. Geol.	3	37.14%	91.69%
Eclog. Amer.	3	37.16%	91.69%
Eclog. Pl. Rar.	3	37.17%	91.69%
Edinburgh New Philos. J. ser.	3	37.19%	91.70%
Edwards's Bot. Reg. ad	3	37.21%	91.70%
Elenchus	3	37.22%	91.71%
Elysium Marianum	3	37.24%	91.71%
Ensayo Geobot.	3	37.25%	91.72%
Entw. Nat. Anordn. Orch.	3	37.27%	91.72%
Enum. Bryin. Exot.	3	37.29%	91.73%
Enum. Stirp. Transsilv.	3	37.30%	91.73%
État Gen. Vég. Orig.	3	37.32%	91.74%
Études Gîtes Min. France, Bassin Houiller Basse Loire	3	37.34%	91.74%
Eur. N. Amer. Bryin.	3	37.35%	91.75%
Exanth. Pfl.	3	37.37%	91.75%
Excelsia Tax. Ser.	3	37.38%	91.75%
Ext. Chron. Charoideae	3	37.40%	91.76%
Fieldiana, Bot. ser.	3	37.42%	91.76%
Fl. Africae Austr.	3	37.43%	91.77%
Fl. Agén.	3	37.45%	91.77%
Fl. Bassin Sous-Pyrénéen	3	37.47%	91.78%
Fl. Cechica	3	37.48%	91.78%
Fl. Foss. Helv.	3	37.50%	91.79%
Fl. Gallo-Prov.	3	37.51%	91.79%
Fl. Gén. Paris ed.	3	37.53%	91.80%
Fl. Hawaii.	3	37.55%	91.80%
Fl. Hawaii. Fam.	3	37.56%	91.81%
Fl. Hibernica	3	37.58%	91.81%
Fl. Lit. Inch.	3	37.60%	91.81%
Fl. Mycol. France	3	37.61%	91.82%
Fl. New Zealand	3	37.63%	91.82%
Fl. Nieder-Österreich	3	37.64%	91.83%
Fl. Palermitana	3	37.66%	91.83%
Fl. Schlesien ed.	3	37.68%	91.84%
Fl. Sibirica	3	37.69%	91.84%
Fl. Sylv. Koreana	3	37.71%	91.85%
Fl. Tadzhiksk. SSR	3	37.72%	91.85%
Fl. Uzbekist.	3	37.74%	91.86%
Flora Fossil. Format. Oolith.	3	37.76%	91.86%
Folia Mus. Rerum Naturalium Bohemiae Occid., Bot.	3	37.77%	91.87%
Förh. Geol. Fören. Stockholm	3	37.79%	91.87%
Foss. Fucoiden Schweizer-Alpen	3	37.81%	91.87%
Fragm. Pl. Filipinas	3	37.82%	91.88%
Fungi Natal.	3	37.84%	91.88%
Gard. Dict. ed.	3	37.85%	91.89%
Gen. Heterolich.	3	37.87%	91.89%
Gen. Names Orchids	3	37.89%	91.90%
Gen. Nat. Hist.	3	37.90%	91.90%
Gen. Pl. Umbellif. xxvi,	3	37.92%	91.91%
Gen. S. African Fl. Pl.	3	37.94%	91.91%
Genre Inocybe	3	37.95%	91.92%
Geol. Mag., Decade	3	37.97%	91.92%
Geol. Surv. Illinois	3	37.98%	91.93%
Handbuch	3	38.00%	91.93%
Haupt-Verzeichnis Samen Pflanzen	3	38.02%	91.93%
Hepaticae Anthocerotae N. Amer.	3	38.03%	91.94%
Herb. Mycol. ed.	3	38.05%	91.94%
Herb. Pedemontanum	3	38.07%	91.95%
Hist. Nat. Anim. sans Vert.	3	38.08%	91.95%
Hist. Nat. Pl.	3	38.10%	91.96%
Hist. Nat. Vég. Parasites	3	38.11%	91.96%
Hist. Phys. Cuba	3	38.13%	91.97%
Hist. Vég. Foss.	3	38.15%	91.97%
Hoppea	3	38.16%	91.98%
Hort. Dendrol.	3	38.18%	91.98%
Hortus Brit.	3	38.19%	91.99%
Icon. Bot. Pl. Crit.	3	38.21%	91.99%
Icon. Descr. Gram. Austr.	3	38.23%	91.99%
Icon. Pl.	3	38.24%	92.00%
Icon. Pl. Asiat.	3	38.26%	92.00%
Icon. Pl. ed. Keller	3	38.28%	92.01%
Iheringia, Bot.	3	38.29%	92.01%
Ill. Algarum	3	38.31%	92.02%
Ind. Sem. Horti Reg. Bot. Monspel.	3	38.32%	92.02%
Index Bryol.	3	38.34%	92.03%
Index Filicum	3	38.36%	92.03%
Index Semina Horto Gött.	3	38.37%	92.04%
Indian J. Bot.	3	38.39%	92.04%
Inst. Mic. Univ. Recife Publ.	3	38.41%	92.05%
Inst. Verslagen Meded. Kon. Ned. Inst. Wetensch.	3	38.42%	92.05%
Int. Geol. Congr., Rep. XVII Sess.	3	38.44%	92.05%
Internal Struct. Foss. Veg.	3	38.45%	92.06%
Iskop. Peridin. SSSR	3	38.47%	92.06%
Iskop. Vodorosli SSSR	3	38.49%	92.07%
Israel J. Bot.	3	38.50%	92.07%
Ivz. Akad. Nauk SSSR, Ser.	3	38.52%	92.08%
Izv. Akad. Nauk Tadzhiksk. SSR, Otd. Biol. Nauk	3	38.54%	92.08%
Izv. Kievsk. Bot. Sada	3	38.55%	92.09%
Izvestkovye Rifoobraz. Vodorosli Nizhn. Devon. Urala	3	38.57%	92.09%
Izvestkovye Vodorosli Nizhn. Dredn. Devona Juga Nov. Zemli	3	38.58%	92.10%
J. & Proc. Roy. Soc. New South Wales	3	38.60%	92.10%
J. Bot. ser.	3	38.62%	92.11%
J. Fac. Sci. Hokkaido Univ., Ser.	3	38.63%	92.11%
J. Heredity	3	38.65%	92.11%
J. Phys. Chim. Hist. Nat.	3	38.66%	92.12%
J. Proc. Linn. Soc., Suppl. Bot.	3	38.68%	92.12%
J. Voyage South Seas	3	38.70%	92.13%
Jahrb. Königl. Bot. Gart. Berlin	3	38.71%	92.13%
Kaiserl. Akad. Wiss. Wien, Math.-Naturwiss. Kl., Denkschr.	3	38.73%	92.14%
Kaktus-ABC	3	38.75%	92.14%
Kansas Geol. Surv. Bull.	3	38.76%	92.15%
Kew Bull. Add. Ser.	3	38.78%	92.15%
Kongel. Danske Vidensk. Selsk. Skr.,	3	38.79%	92.16%
Kongl. Vetensk. Akad. Nya Handl.	3	38.81%	92.16%
Kreidepfl. Quedlinburgs	3	38.83%	92.17%
Krypt.-Fl. Anfänger	3	38.84%	92.17%
Krypt.-Fl. Deutschl.	3	38.86%	92.17%
Kulturpflanze	3	38.88%	92.18%
Kuzbass Kluc. Rajon Stratigr. Angarid.	3	38.89%	92.18%
Leçons Bot. Morphol.	3	38.91%	92.19%
Lehrbuch Niederen Kryptogamen	3	38.92%	92.19%
Lich. Environs Paris	3	38.94%	92.20%
Lichenes Neotropici Fasc. X (nos	3	38.96%	92.20%
Licheni Bassanesi	3	38.97%	92.21%
Lichenogr. Sicula	3	38.99%	92.21%
Lingnan Univ. Sci. Bull.	3	39.01%	92.22%
Loefgrenia	3	39.02%	92.22%
London Edinburgh Philos. Mag. & J. Sci.	3	39.04%	92.23%
Madras J. Lit. Sci. ser.	3	39.05%	92.23%
Magyar Tud. Akad. Értes.	3	39.07%	92.23%
Mater.	3	39.09%	92.24%
Mater. Geol. Zapadno-Sibirsk. Kraja	3	39.10%	92.24%
Med. Mycol.	3	39.12%	92.25%
Meddel. Grønland, Biosci.	3	39.13%	92.25%
Melovaja Fl. Sakhalina	3	39.15%	92.26%
Mem. Comision Limites	3	39.17%	92.26%
Mem. Dept. Bot. Columbia Coll.	3	39.18%	92.27%
Mem. Reale Accad. Sci. Ist. Bologna ser.	3	39.20%	92.27%
Mem. Soc. Brot.	3	39.22%	92.28%
Mém. Soc. Géol. France new ser.	3	39.23%	92.28%
Mem. Tour N. Mexico	3	39.25%	92.29%
Mercurio Chileno	3	39.26%	92.29%
Mesemb Study Group Bull.	3	39.28%	92.29%
Mezozoisk. Fl. Vost. Sibiri Zabajkal'ja	3	39.30%	92.30%
Mezozojsk. Fl. Reki Burei	3	39.31%	92.30%
Michigan Bot.	3	39.33%	92.31%
Micol. Ital.	3	39.35%	92.31%
Microplankton Barents et Kara	3	39.36%	92.32%
Mikrogeologie t.	3	39.38%	92.32%
Misc. Bryol. Lichenol.	3	39.39%	92.33%
Monogr. Afr. Pflanzenfam.	3	39.41%	92.33%
Monogr. Lich. Brit.	3	39.43%	92.34%
Monogr. Orchidées Eur.	3	39.44%	92.34%
Monogr. Pl. Foss. Vosges	3	39.46%	92.35%
Moosfl. Harz.	3	39.47%	92.35%
Moscow Univ. Paleontol. Lab. Probl.	3	39.49%	92.35%
Mountain Geol.	3	39.51%	92.36%
Mus. Senckenberg.	3	39.52%	92.36%
Musci Frond. Nov. Sp. Archip. Ind.	3	39.54%	92.37%
Musci Novi Scand.	3	39.56%	92.37%
Muscol. Brit.	3	39.57%	92.38%
Mutisia	3	39.59%	92.38%
Mycol. Helv.	3	39.60%	92.39%
Mycol. Mem.	3	39.62%	92.39%
Mykol. Untersuch.	3	39.64%	92.40%
Nat. Hist.	3	39.65%	92.40%
Nat. Pflanzenfam. Nachtr. (1.2):	3	39.67%	92.41%
Natl. Hort. Mag.	3	39.69%	92.41%
Naturalist	3	39.70%	92.41%
Naturaliste Canad.	3	39.72%	92.42%
Naturforscher (Halle)	3	39.73%	92.42%
Natuurw. Tijdschr.	3	39.75%	92.43%
Nereis Austral.	3	39.77%	92.43%
Nereis Bor.-Amer.	3	39.78%	92.44%
Nereis Brit. xvi, xxiv.	3	39.80%	92.44%
Neues Jahrb. Mineral. Geol. (Ref.)	3	39.82%	92.45%
Nom.	3	39.83%	92.45%
Nom. Bot.	3	39.85%	92.46%
Norsk Geol. Tidsskr.	3	39.86%	92.46%
Norsk Polarinst. Skr.	3	39.88%	92.47%
North Carolina Geol. Survey	3	39.90%	92.47%
Nota Algol.	3	39.91%	92.47%
Notas Bot. Fl. Esp.	3	39.93%	92.48%
Notas Mus. La Plata	3	39.94%	92.48%
Notes Crit.	3	39.96%	92.49%
Nouv. Arch. Mus. Hist. Nat.	3	39.98%	92.49%
Nouv. Fl. Env. Paris	3	39.99%	92.50%
Nov. Gen.	3	40.01%	92.50%
Nova Guinea Bot.	3	40.03%	92.51%
Növénytani Közlem.	3	40.04%	92.51%
Novit. Bot. Delect. Seminum Horti Bot. Univ. Carol. Prag.	3	40.06%	92.52%
Nuovi Saggi Imp. Regia Accad. Sci. Padova	3	40.07%	92.52%
Nye Saml. Kongel. Danske Vidensk. Selsk. Skr.	3	40.09%	92.53%
Observ. Mycol.	3	40.11%	92.53%
Observ. Naucleis Ind.	3	40.12%	92.53%
Observ. Phys.	3	40.14%	92.54%
Observ. Pl. Angers	3	40.16%	92.54%
Occas. Pap. Farlow Herb. Harvard Univ.	3	40.17%	92.55%
Oceanol. Limnol. Sin.	3	40.19%	92.55%
Oklahoma Geol. Notes	3	40.20%	92.56%
Orchid Hybr.	3	40.22%	92.56%
Orchid World	3	40.24%	92.57%
Orchid. Linden.	3	40.25%	92.57%
Orchidaceae	3	40.27%	92.58%
Ord. Nat.	3	40.29%	92.58%
Org. Reste Lettenk. Thüringens	3	40.30%	92.59%
Österr. Bot. Z.	3	40.32%	92.59%
Overs. Kongel. Danske Vidensk. Selsk. Forh. Medlemmers Arbeider	3	40.33%	92.59%
Paleobiol. Continentale	3	40.35%	92.60%
Paleontol. Conf. Dept. Paleontol. Fac. Nat. Sci. Charles Univ. (Praha)	3	40.37%	92.60%
Palestine J. Bot., Jerusalem Ser.	3	40.38%	92.61%
Pamiętn. Akad. Umiejętn. w Krakowie, Wydz. Mat.-Przyr.	3	40.40%	92.61%
Pap. Biol. Univ. Queensland	3	40.41%	92.62%
Parasit. Schriftenreihe	3	40.43%	92.62%
Parodiana	3	40.45%	92.63%
Peking Nat. Hist. Bull.	3	40.46%	92.63%
Pennsylvania	3	40.48%	92.64%
Pflanzenfam.	3	40.50%	92.64%
Phytomorphology	3	40.51%	92.65%
Pl. Amer.	3	40.53%	92.65%
Pl. Bequaert.	3	40.54%	92.66%
Pl. Fam. Asperifol.	3	40.56%	92.66%
Pl. Imag.	3	40.58%	92.66%
Pl. Min. Cogn. Pugil.	3	40.59%	92.67%
Pl. Nouvellem. Découv.	3	40.61%	92.67%
Pl. Novas Brasil (un-numbered)	3	40.63%	92.68%
Pl. Pugillus	3	40.64%	92.68%
Pl. Rar. Horti Acad. Monac.	3	40.66%	92.69%
Pl. Select.	3	40.67%	92.69%
Pl. Succ. Horto Alenç.	3	40.69%	92.70%
Poll. Orchid. Gen.	3	40.71%	92.70%
Pollichia	3	40.72%	92.71%
Preis-Verzeich. Pfl.	3	40.74%	92.71%
Prim. Fl. Werth.	3	40.76%	92.72%
Proc. Cambridge Philos. Soc.	3	40.77%	92.72%
Proc. Imp. Acad. Japan	3	40.79%	92.72%
Proc. Int. Symp. Taxonomy of Fungi Univ. Madras,	3	40.80%	92.73%
Proc. Rochester Acad. Sci.	3	40.82%	92.73%
Proc. Roy. Soc. London, Ser. B, Biol. Sci.	3	40.84%	92.74%
Proc. Wash. Acad. Sci.	3	40.85%	92.74%
Prodr. Gen. Sp. Phyc. Nov.	3	40.87%	92.75%
Prodr. Pl. Indiae Occid. xv,	3	40.88%	92.75%
Prodr. Pl. Indiae Occid. xvi,	3	40.90%	92.76%
Prof. Mitsuzo Noda Commem. Publ., Fac. Sci., Niigata Univ.	3	40.92%	92.76%
Profess. Contr. Colorado School Mines	3	40.93%	92.77%
Propos Algues Foss.	3	40.95%	92.77%
Publ. Inst. Bot.	3	40.97%	92.78%
Rec. Auckland Inst. Mus.	3	40.98%	92.78%
Rec. Bot. Surv. India	3	41.00%	92.78%
Rec. Geol. Surv. Victoria	3	41.01%	92.79%
Region. Mar.	3	41.03%	92.79%
Reise Nord-America	3	41.05%	92.80%
Rep. Babbage's Exped.	3	41.06%	92.80%
Rep. Bot. Surv. Nebraska	3	41.08%	92.81%
Rep. First Sci. Exped. Manchukuo	3	41.10%	92.81%
Rep. Geol. Surv. Ohio	3	41.11%	92.82%
Rep. Mining Surveyors Registrars (Victoria), Quarter Ending	3	41.13%	92.82%
Repert. Pl. Succ.	3	41.14%	92.83%
Rev. Inst. Franç. Pétrole & Ann. Combust. Liquides	3	41.16%	92.83%
Rev. Niederl. Homob.-Aphyll.	3	41.18%	92.84%
Revista Mus. Argent. Ci. Nat. 'Bernardino Rivadavia,' Ci. Bot.	3	41.19%	92.84%
Ricerch. Caprifico	3	41.21%	92.84%
Richardiana	3	41.23%	92.85%
S. African J. Sci.	3	41.24%	92.85%
Šbersicht Verstein. Grossherzogtums Baden	3	41.26%	92.86%
Sborn. Severocesk. Mus., Prir. Vedy	3	41.27%	92.86%
Sborník Prírodoved. Spolecnosti v Mor. Ostrave	3	41.29%	92.87%
Sci. Proc. Roy. Dublin Soc.	3	41.31%	92.87%
Sci. Rep. Niigata Univ., Ser. D.	3	41.32%	92.88%
Sci. Rep. Saitama Univ., Ser. B, Biol., Endô Commem. Vol.	3	41.34%	92.88%
Sci. Rep. Tokyo Bunrika Daigaku, Sect. B	3	41.35%	92.89%
Scripta Geol.	3	41.37%	92.89%
Semaine Hort.	3	41.39%	92.90%
Sketch Veg. Swan River Colony xvi.	3	41.40%	92.90%
Sketch Veg. Swan River Colony xxiii.	3	41.42%	92.90%
Sovetsk. Bot.	3	41.44%	92.91%
Spec. Photogr. Anim. Pl. Foss.	3	41.45%	92.91%
Spic. Fl. Germ.	3	41.47%	92.92%
Staz. Sperim. Agrar. Ital.	3	41.48%	92.92%
Stratigr. Fauna Kamennougol. Otlozh. Reki Shartym	3	41.50%	92.93%
Stratigr. Polozenie Floronosnyh Tolsc Triasa Evrazii (Trudy GIN	3	41.52%	92.93%
Studi Lign. Anemof.	3	41.53%	92.94%
Studii Fl. Foss. Senigalliese	3	41.55%	92.94%
Syll. Gen. Spec. Crypt.	3	41.57%	92.95%
Syn. Algarum Scand. xii.	3	41.58%	92.95%
Syn. Diat. Belgique t.	3	41.60%	92.96%
Syn. Filicum	3	41.61%	92.96%
Syn. Fl. Foss. Senogall.	3	41.63%	92.96%
Syn. Pl. [Kunth]	3	41.65%	92.97%
Synopsis Fungorum	3	41.66%	92.97%
Syst. Algarum xiv,	3	41.68%	92.98%
Syst. Dist. Permian Miospores	3	41.70%	92.98%
Syst. Veg. Fl. Peruv. Chil.	3	41.71%	92.99%
Tabl. Syn. Némazoaires [10] (Aperçu Hist. Nat.	3	41.73%	92.99%
Tabulae Phycol.	3	41.74%	93.00%
Tent. Disp. Meth. Fung.	3	41.76%	93.00%
Tent. Disp. Pl. German.	3	41.78%	93.01%
Tent. Suppl.	3	41.79%	93.01%
Tert. Angiosp. Woods Hungary	3	41.81%	93.02%
Trab. Mus. Nac. Ci. Nat., Ser. Bot.	3	41.82%	93.02%
Traité Paléobot.	3	41.84%	93.02%
Trans. & Proc. Victorian Inst. Advancem. Sci.	3	41.86%	93.03%
Trans. Hort. Soc. London ser.	3	41.87%	93.03%
Trav. & Mém. Univ. Lille	3	41.89%	93.04%
Travels S. Africa	3	41.91%	93.04%
Tromsø Mus. Aarsh.	3	41.92%	93.05%
Trudy Bot. Muz.	3	41.94%	93.05%
